,Tên loài,Mô tả,Nơi sống tự nhiên,Trạng thái bảo tồn,Type
0,Voi Châu Á,"Voi châu Á là những họ hàng nhỏ con hơn của loài voi châu Phi (Loxodonta africana). Nó nhiều khả năng độc đáo, nhờ vào cấu trúc cơ thể và tính cách đặc trưng. Chúng có thể thể hiện cảm xúc và trí thông minh đáng ngạc nhiên.",Châu Á,EN (Nguy cấp),3
1,Hươu Cao Cổ,Hươu Cao Cổ là một loài động vật có vú cao to và có lông vằn đặc trưng. Hươu Cao Cổ là loài động vật cao nhất trên cạn và sử dụng cổ dài để hướng đến những tán lá cao trên cây.,"Châu Á, Châu Âu",VU (Nguy cấp),4
2,Hổ,Hổ là loài mèo lớn nhất và được biết đến với bộ lông màu cam đặc trưng với vạch đen. Chúng là một trong những loài săn mồi mạnh mẽ và đang bị đe dọa nghiêm trọng.,"Châu Á, Châu Phi",EN (Nguy cấp),6
3,Sư Tử,"Sư Tử là một loài mèo lớn và được biết đến với danh hiệu 'Vua của rừng'. Sư tử là một trong những loài đại miêu của họ Mèo, chi Báo.","Châu Phi, Ấn Độ",VU (Nguy cấp),2
4,Báo Đốm,Báo Đốm là một loài mèo lớn nổi tiếng với tốc độ phi thường. Đây là động vật chạy nhanh nhất trên cạn với hình dáng mảnh mai và chân dài.,"Châu Phi, Ấn Độ",VU (Nguy cấp),1
5,Đười ươi,"Đười ươi là loài linh trưởng lớn sống trên các hòn đảo Borneo và Sumatra. Chúng nổi tiếng với trí tuệ, khả năng linh hoạt và lông màu đỏ.","Châu Phi, Châu Á",VU (Nguy cấp),2
6,Kangaroo,"Kangaroo là một loài túi quảng bá đến Australia. Chúng nổi tiếng với chân sau mạnh mẽ và khả năng nhảy, cũng như việc mang con ở túi.",Úc và New Guinea,LC (Ít quan tâm),4
7,Hà mã,"Hà mã, thường được gọi là hà mã, là một loài động vật lớn sống chủ yếu trong nước ở Châu Phi. Chúng nổi tiếng với kích thước khổng lồ và tính hung dữ.","Châu Phi, Châu Á",VU (Nguy cấp),2
8,Gấu trúc,Gấu trúc là loài gấu lớn sinh sống trong vùng núi của Trung Quốc. Gấu trúc nổi tiếng với bộ lông đen và trắng đặc trưng và chế độ ăn tre. Gấu trúc đang bị đe dọa và các nỗ lực bảo tồn đã được thực hiện để bảo vệ chúng và môi trường sống tự nhiên của chúng.,Châu Á,VU (Nguy cấp),2
9,Gấu,"Gấu là một loài động vật có vú lớn với lớp lông dày và màu sắc đa dạng. Chúng sống ở rừng, núi và đồng cỏ trên toàn thế giới.",Toàn cầu,VU (Nguy cấp),2
10,Sói,"Sói là động vật thông minh và xã hội thuộc họ Canidae. Chúng nổi tiếng với tiếng hú của mình và khả năng săn mồi. Sói sống và săn mồi thành đàn, trong đó chúng hợp tác để tiêu diệt con mồi. Sói có mặt ở nhiều môi trường khác nhau trên khắp Bắc Mỹ.",Toàn cầu,LC (Ít quan tâm),2
11,Khỉ đột,Khỉ đột là loài linh trưởng sinh sống trong rừng nhiệt đới của Borneo và Sumatra. Chúng nổi tiếng với trí tuệ và khả năng sử dụng công cụ. Khỉ đột đang bị nguy cơ tuyệt chủng do mất môi trường sống và săn bắt trái phép. Chúng chủ yếu sống trên cây.,"Châu Á, Châu Phi",LC (Ít quan tâm),3
12,Khỉ đầu chó,"Khỉ đầu chó là một nhóm loài khỉ trong họ Cercopithecidae. Chúng có hình dạng đặc biệt với đầu hình tam giác và mặt mũi rất phẳng. Khỉ đầu chó sống trong các khu rừng và thích ăn lá cây, trái cây và côn trùng.",Châu Phi,LC (Ít quan tâm),30
13,Tê Giác,Tê giác là loài động vật có vú lớn và có một chiếc sừng đặc biệt trên mũi. Chúng sống trong các khu rừng và thảo nguyên và thích ăn cỏ và các loại thực vật khác. Tê giác đang bị đe dọa nghiêm trọng do săn bắn và mất môi trường sống.,"Châu Phi, Châu Á",CR (Nguy cấp),5
14,Hươu,Hươu là một nhóm động vật có vú trong họ Cervidae. Chúng có lông màu nâu và một cặp sừng phát triển trên đầu. Hươu sống trong các khu rừng và thảo nguyên và thích ăn cỏ và lá cây.,"Châu Âu, Châu Á",LC (Ít quan tâm),53
15,Lợn rừng,"Lợn rừng là một nhóm loài lớn trong họ lợn. Chúng có kích thước lớn và lông dày. Lợn rừng sống trong các khu rừng và thảo nguyên và thích ăn trái cây, rễ cây và côn trùng.","Châu Á, Châu Phi",LC (Ít quan tâm),17
16,Nai Sừng Tấm,"Nai sừng tấm là loài động vật có vú nhỏ gọn với lớp lông mềm mại và màu sắc phổ biến là nâu hoặc xám. Đặc điểm nổi bật của nai sừng tấm là đôi sừng dẹp và mỏ dài, được sử dụng để hái lá và trái cây. Chúng sống chủ yếu trong khu rừng và vùng đồng cỏ.",Châu Phi,LC (Ít quan tâm),18
